customer_id,name,age,gender,city,state,annual_income,skin_type,signup_date
1,Customer_1,59,Female,Jaipur,Rajasthan,599623,Combination,2022-05-23
2,Customer_2,53,Female,Mumbai,Maharashtra,1525965,Sensitive,2023-08-21
3,Customer_3,41,Male,Jaipur,Rajasthan,590102,Normal,2023-05-21
4,Customer_4,21,Male,Hyderabad,Telangana,620531,Oily,2024-03-22
5,Customer_5,56,Male,Jaipur,Rajasthan,1106915,Sensitive,2023-09-03
6,Customer_6,51,Female,Indore,Madhya Pradesh,1460198,Dry,2023-11-28
7,Customer_7,52,Female,Hyderabad,Telangana,1644194,Combination,2022-04-25
8,Customer_8,45,Male,Delhi,Delhi,1251527,Dry,2024-01-10
9,Customer_9,50,Male,Delhi,Delhi,1364685,Dry,2024-06-10
10,Customer_10,58,Male,Delhi,Delhi,620527,Combination,2024-02-20
11,Customer_11,52,Male,Pune,Maharashtra,1556077,Combination,2023-05-16
12,Customer_12,25,Female,Bengaluru,Karnataka,944903,Oily,2022-03-01
13,Customer_13,54,Male,Mumbai,Maharashtra,479628,Sensitive,2024-04-15
14,Customer_14,52,Male,Hyderabad,Telangana,569256,Sensitive,2023-07-17
15,Customer_15,34,Female,Pune,Maharashtra,744173,Normal,2024-02-13
16,Customer_16,37,Female,Mumbai,Maharashtra,1708629,Combination,2023-03-25
17,Customer_17,46,Male,Lucknow,Uttar Pradesh,819895,Oily,2022-03-07
18,Customer_18,19,Male,Ahmedabad,Gujarat,1534048,Oily,2022-01-08
19,Customer_19,58,Male,Hyderabad,Telangana,780125,Dry,2022-02-02
20,Customer_20,22,Male,Ahmedabad,Gujarat,884009,Sensitive,2022-08-08
21,Customer_21,26,Female,Lucknow,Uttar Pradesh,809602,Sensitive,2024-04-06
22,Customer_22,30,Male,Jaipur,Rajasthan,503278,Sensitive,2022-12-29
23,Customer_23,44,Female,Jaipur,Rajasthan,413605,Dry,2022-03-04
24,Customer_24,39,Male,Jaipur,Rajasthan,821470,Oily,2022-07-14
25,Customer_25,46,Male,Lucknow,Uttar Pradesh,1184749,Oily,2022-10-13
26,Customer_26,33,Male,Indore,Madhya Pradesh,1229312,Normal,2022-04-11
27,Customer_27,59,Male,Bengaluru,Karnataka,495586,Oily,2022-06-20
28,Customer_28,49,Female,Jaipur,Rajasthan,748260,Sensitive,2022-03-02
29,Customer_29,42,Male,Pune,Maharashtra,1118773,Combination,2024-03-13
30,Customer_30,36,Female,Indore,Madhya Pradesh,1760858,Normal,2023-11-09
31,Customer_31,27,Male,Indore,Madhya Pradesh,922241,Oily,2022-03-01
32,Customer_32,52,Male,Chandigarh,Chandigarh,957676,Dry,2022-02-21
33,Customer_33,48,Male,Chandigarh,Chandigarh,419285,Normal,2022-03-24
34,Customer_34,22,Male,Pune,Maharashtra,1716023,Oily,2023-02-18
35,Customer_35,54,Male,Hyderabad,Telangana,1514081,Normal,2022-02-10
36,Customer_36,23,Female,Chandigarh,Chandigarh,1678611,Normal,2023-08-02
37,Customer_37,38,Female,Lucknow,Uttar Pradesh,728362,Combination,2022-09-02
38,Customer_38,43,Male,Delhi,Delhi,1708636,Combination,2023-04-14
39,Customer_39,22,Male,Ahmedabad,Gujarat,1261094,Normal,2023-07-31
40,Customer_40,22,Male,Hyderabad,Telangana,1360917,Combination,2022-05-16
41,Customer_41,22,Male,Ahmedabad,Gujarat,1074954,Combination,2022-06-11
42,Customer_42,52,Female,Indore,Madhya Pradesh,1582781,Normal,2022-01-09
43,Customer_43,37,Male,Lucknow,Uttar Pradesh,581628,Combination,2022-04-29
44,Customer_44,53,Male,Hyderabad,Telangana,871155,Combination,2023-09-12
45,Customer_45,39,Male,Mumbai,Maharashtra,1741785,Combination,2023-06-02
46,Customer_46,34,Male,Indore,Madhya Pradesh,493563,Sensitive,2024-04-29
47,Customer_47,20,Male,Delhi,Delhi,999518,Oily,2023-10-15
48,Customer_48,28,Female,Delhi,Delhi,1456957,Sensitive,2023-07-29
49,Customer_49,25,Male,Bengaluru,Karnataka,1749173,Oily,2023-07-13
50,Customer_50,41,Male,Bengaluru,Karnataka,1201328,Oily,2022-02-12
51,Customer_51,41,Male,Delhi,Delhi,1050380,Oily,2023-11-30
52,Customer_52,60,Male,Mumbai,Maharashtra,1041717,Normal,2024-06-14
53,Customer_53,57,Male,Jaipur,Rajasthan,796474,Oily,2024-03-30
54,Customer_54,44,Male,Pune,Maharashtra,676146,Combination,2024-03-12
55,Customer_55,60,Male,Jaipur,Rajasthan,859532,Oily,2024-03-17
56,Customer_56,42,Male,Hyderabad,Telangana,1287108,Oily,2022-07-24
57,Customer_57,40,Female,Indore,Madhya Pradesh,777302,Oily,2022-01-25
58,Customer_58,43,Female,Mumbai,Maharashtra,884272,Dry,2024-03-02
59,Customer_59,40,Female,Delhi,Delhi,1725052,Normal,2022-12-06
60,Customer_60,25,Female,Bengaluru,Karnataka,674483,Normal,2022-09-29
61,Customer_61,24,Female,Bengaluru,Karnataka,1024958,Combination,2023-03-23
62,Customer_62,50,Male,Chandigarh,Chandigarh,1107813,Normal,2022-07-14
63,Customer_63,20,Female,Delhi,Delhi,303546,Normal,2024-04-05
64,Customer_64,60,Male,Lucknow,Uttar Pradesh,1063827,Sensitive,2022-03-13
65,Customer_65,57,Female,Ahmedabad,Gujarat,1691224,Dry,2024-01-08
66,Customer_66,50,Female,Delhi,Delhi,1698575,Sensitive,2022-12-01
67,Customer_67,36,Male,Jaipur,Rajasthan,702317,Sensitive,2023-11-12
68,Customer_68,29,Female,Jaipur,Rajasthan,1151601,Normal,2024-05-03
69,Customer_69,37,Female,Bengaluru,Karnataka,740785,Sensitive,2024-03-15
70,Customer_70,56,Female,Chandigarh,Chandigarh,1275150,Sensitive,2023-03-29
71,Customer_71,50,Female,Mumbai,Maharashtra,655868,Dry,2022-10-18
72,Customer_72,60,Female,Lucknow,Uttar Pradesh,495847,Oily,2023-11-20
73,Customer_73,32,Male,Delhi,Delhi,609023,Dry,2022-02-17
74,Customer_74,48,Male,Mumbai,Maharashtra,1255076,Sensitive,2023-10-07
75,Customer_75,30,Female,Chandigarh,Chandigarh,1336784,Sensitive,2022-09-07
76,Customer_76,59,Male,Pune,Maharashtra,523529,Sensitive,2022-08-13
77,Customer_77,51,Female,Pune,Maharashtra,405315,Normal,2022-09-13
78,Customer_78,47,Male,Hyderabad,Telangana,1274427,Normal,2023-07-27
79,Customer_79,38,Female,Chandigarh,Chandigarh,1584825,Normal,2023-03-13
80,Customer_80,46,Male,Lucknow,Uttar Pradesh,1295464,Sensitive,2022-09-23
81,Customer_81,58,Female,Mumbai,Maharashtra,1393244,Sensitive,2023-10-04
82,Customer_82,35,Female,Mumbai,Maharashtra,462494,Combination,2022-08-29
83,Customer_83,39,Female,Delhi,Delhi,1432781,Dry,2022-05-22
84,Customer_84,32,Female,Pune,Maharashtra,1755318,Oily,2023-12-25
85,Customer_85,22,Female,Mumbai,Maharashtra,1154797,Combination,2023-07-10
86,Customer_86,44,Male,Indore,Madhya Pradesh,733763,Sensitive,2023-02-03
87,Customer_87,19,Female,Chandigarh,Chandigarh,1300299,Dry,2022-12-27
88,Customer_88,42,Female,Delhi,Delhi,1428730,Normal,2024-03-30
89,Customer_89,32,Female,Chandigarh,Chandigarh,760160,Combination,2023-03-23
90,Customer_90,19,Female,Indore,Madhya Pradesh,1004914,Sensitive,2024-01-12
91,Customer_91,47,Male,Pune,Maharashtra,1604967,Normal,2022-01-28
92,Customer_92,55,Male,Jaipur,Rajasthan,476050,Sensitive,2022-05-19
93,Customer_93,29,Male,Indore,Madhya Pradesh,845587,Sensitive,2022-12-02
94,Customer_94,47,Female,Mumbai,Maharashtra,1007789,Sensitive,2022-10-12
95,Customer_95,34,Male,Jaipur,Rajasthan,1286304,Dry,2024-02-07
96,Customer_96,21,Female,Lucknow,Uttar Pradesh,770227,Dry,2024-03-10
97,Customer_97,19,Male,Bengaluru,Karnataka,718089,Dry,2023-09-29
98,Customer_98,33,Male,Pune,Maharashtra,1293129,Dry,2023-08-01
99,Customer_99,47,Female,Mumbai,Maharashtra,1073629,Oily,2023-09-13
100,Customer_100,25,Male,Chandigarh,Chandigarh,952295,Dry,2023-08-16
101,Customer_101,37,Female,Bengaluru,Karnataka,1131844,Oily,2022-03-19
102,Customer_102,58,Male,Chandigarh,Chandigarh,513702,Combination,2024-05-20
103,Customer_103,25,Male,Chandigarh,Chandigarh,1028139,Normal,2023-03-15
104,Customer_104,22,Female,Ahmedabad,Gujarat,326533,Sensitive,2024-04-22
105,Customer_105,24,Female,Indore,Madhya Pradesh,1059563,Sensitive,2023-12-26
106,Customer_106,45,Male,Pune,Maharashtra,1394182,Combination,2023-09-23
107,Customer_107,48,Female,Lucknow,Uttar Pradesh,1213465,Normal,2022-10-02
108,Customer_108,33,Male,Ahmedabad,Gujarat,884954,Sensitive,2022-09-07
109,Customer_109,54,Female,Indore,Madhya Pradesh,1005474,Dry,2023-05-22
110,Customer_110,29,Female,Ahmedabad,Gujarat,744847,Combination,2024-03-27
111,Customer_111,39,Female,Delhi,Delhi,1550227,Combination,2023-07-24
112,Customer_112,51,Male,Bengaluru,Karnataka,479543,Oily,2024-01-08
113,Customer_113,49,Male,Jaipur,Rajasthan,1748312,Sensitive,2023-10-24
114,Customer_114,46,Male,Indore,Madhya Pradesh,495147,Combination,2022-08-15
115,Customer_115,33,Female,Jaipur,Rajasthan,1692425,Normal,2023-01-13
116,Customer_116,53,Female,Indore,Madhya Pradesh,1192346,Normal,2022-12-05
117,Customer_117,47,Female,Ahmedabad,Gujarat,943035,Combination,2022-08-25
118,Customer_118,30,Female,Hyderabad,Telangana,550724,Normal,2024-02-20
119,Customer_119,30,Male,Pune,Maharashtra,1315438,Combination,2024-01-12
120,Customer_120,51,Female,Chandigarh,Chandigarh,510818,Oily,2022-10-31
121,Customer_121,41,Male,Mumbai,Maharashtra,933901,Dry,2023-12-27
122,Customer_122,26,Female,Lucknow,Uttar Pradesh,395453,Dry,2023-07-21
