order_id,product_id,quantity,selling_price
1,29,1,1062
2,31,1,647
2,39,1,1068
2,4,1,516
3,1,1,1038
3,22,2,892
4,7,2,332
4,22,1,892
4,5,1,1051
5,37,1,1229
5,1,3,1038
6,33,2,943
7,39,1,1068
7,4,1,516
7,35,2,815
8,37,2,1229
8,9,2,1025
8,36,2,847
9,27,1,1283
10,11,1,1047
10,14,3,1157
11,46,2,625
11,36,1,847
12,40,2,1066
13,33,2,943
13,26,3,1135
14,8,2,588
14,47,3,954
15,33,1,943
16,16,1,1416
17,32,2,611
18,3,3,748
18,46,2,625
19,15,2,439
20,42,2,934
20,48,3,553
20,3,1,748
21,36,2,847
21,8,1,588
21,2,1,576
22,1,3,1038
22,16,2,1416
23,30,2,549
23,10,2,913
24,48,3,553
24,28,2,1057
24,20,1,753
25,39,1,1068
25,4,1,516
26,31,2,647
26,23,3,784
27,19,3,718
27,22,1,892
27,31,3,647
28,19,3,718
29,23,2,784
30,12,2,1432
30,14,1,1157
30,12,1,1432
31,35,1,815
32,7,2,332
32,22,3,892
33,25,3,737
33,22,3,892
34,33,3,943
34,16,3,1416
35,46,3,625
35,21,3,736
36,47,1,954
36,45,1,561
36,28,3,1057
37,26,1,1135
38,22,1,892
38,33,2,943
38,1,1,1038
39,42,2,934
39,5,1,1051
40,31,3,647
41,13,3,954
41,29,1,1062
42,6,1,1306
43,25,3,737
44,5,3,1051
44,22,3,892
45,39,2,1068
45,50,3,998
46,42,2,934
47,32,1,611
47,19,2,718
48,4,3,516
49,50,3,998
49,10,3,913
50,9,1,1025
51,31,2,647
51,49,1,1172
51,15,1,439
52,31,3,647
52,48,3,553
52,2,3,576
53,2,2,576
54,17,1,902
54,33,2,943
54,36,1,847
55,26,2,1135
55,25,2,737
56,49,1,1172
56,46,1,625
57,23,2,784
57,31,3,647
58,19,3,718
58,23,1,784
59,30,3,549
59,9,2,1025
60,3,3,748
61,3,2,748
62,38,1,1061
62,26,3,1135
63,25,3,737
64,40,1,1066
65,31,3,647
66,30,2,549
66,34,2,1107
67,32,2,611
68,6,3,1306
69,38,1,1061
70,5,2,1051
71,5,3,1051
71,43,3,1149
72,10,3,913
72,45,2,561
72,18,1,649
73,35,3,815
73,26,2,1135
73,28,2,1057
74,11,1,1047
74,8,3,588
75,32,2,611
75,33,1,943
76,3,2,748
77,17,3,902
77,5,1,1051
78,38,1,1061
78,18,3,649
79,15,2,439
79,16,2,1416
79,25,3,737
80,30,2,549
80,26,3,1135
81,37,3,1229
81,27,1,1283
81,7,1,332
82,41,1,910
83,34,3,1107
83,19,3,718
84,11,2,1047
84,17,3,902
84,6,1,1306
85,5,2,1051
85,42,1,934
86,49,3,1172
86,31,1,647
87,8,2,588
87,50,2,998
87,11,3,1047
88,24,2,946
89,6,3,1306
90,14,3,1157
90,23,1,784
91,18,1,649
92,20,2,753
93,15,1,439
93,35,3,815
93,27,2,1283
94,9,2,1025
95,40,2,1066
95,14,3,1157
96,41,1,910
97,12,3,1432
98,14,3,1157
98,17,1,902
99,37,2,1229
99,46,1,625
99,24,2,946
100,29,2,1062
101,31,1,647
102,35,1,815
102,46,1,625
102,26,1,1135
103,37,2,1229
103,39,2,1068
103,20,3,753
104,2,1,576
104,19,1,718
104,38,1,1061
105,8,3,588
106,49,3,1172
106,41,2,910
106,12,1,1432
107,33,3,943
108,1,3,1038
108,10,2,913
109,32,2,611
109,43,3,1149
110,17,1,902
110,44,3,1303
111,1,2,1038
112,30,3,549
112,38,2,1061
112,30,3,549
113,12,1,1432
113,34,1,1107
113,13,2,954
114,27,3,1283
114,46,3,625
114,10,1,913
115,3,1,748
115,15,1,439
116,18,3,649
116,15,3,439
117,20,2,753
117,50,2,998
117,31,2,647
118,44,2,1303
118,36,1,847
119,35,1,815
119,39,1,1068
120,36,2,847
120,16,2,1416
121,32,2,611
121,22,2,892
121,16,2,1416
122,19,1,718
122,7,2,332
122,40,3,1066
123,39,1,1068
124,40,2,1066
124,34,3,1107
124,4,2,516
125,38,1,1061
125,24,1,946
125,31,3,647
126,47,1,954
126,30,2,549
126,42,3,934
127,36,2,847
127,19,1,718
128,42,1,934
129,20,3,753
130,24,2,946
131,50,2,998
132,31,1,647
132,5,2,1051
133,15,1,439
133,18,3,649
133,5,2,1051
134,6,2,1306
134,31,2,647
134,24,1,946
135,33,3,943
135,30,2,549
136,16,3,1416
136,33,1,943
137,33,3,943
137,44,1,1303
138,19,3,718
138,11,1,1047
138,5,3,1051
139,18,2,649
139,8,1,588
140,42,1,934
141,29,2,1062
141,37,1,1229
141,33,3,943
142,10,3,913
142,7,1,332
142,42,3,934
143,12,3,1432
143,10,2,913
143,16,3,1416
144,35,1,815
144,45,2,561
145,37,2,1229
145,4,1,516
146,21,1,736
146,13,3,954
147,20,1,753
147,1,3,1038
148,22,2,892
148,39,3,1068
148,20,3,753
149,50,1,998
149,1,2,1038
150,14,1,1157
150,28,3,1057
150,32,3,611
151,13,1,954
151,24,3,946
151,24,1,946
152,46,1,625
153,46,2,625
154,30,1,549
155,5,2,1051
156,46,3,625
157,15,3,439
158,47,3,954
159,1,2,1038
159,26,1,1135
160,22,1,892
160,40,2,1066
160,41,1,910
161,13,2,954
161,9,3,1025
162,42,2,934
163,42,1,934
163,48,1,553
164,18,1,649
165,6,3,1306
165,16,3,1416
165,3,1,748
166,12,1,1432
166,41,3,910
167,7,1,332
167,34,1,1107
168,49,2,1172
168,14,1,1157
168,15,1,439
169,24,3,946
169,34,2,1107
170,16,2,1416
170,29,3,1062
170,33,3,943
171,41,3,910
172,45,3,561
173,22,3,892
174,20,3,753
174,24,1,946
175,42,1,934
175,8,3,588
175,6,1,1306
176,44,2,1303
177,11,1,1047
177,40,3,1066
178,38,1,1061
178,8,3,588
178,35,2,815
179,23,2,784
179,21,1,736
179,31,2,647
180,17,3,902
180,10,1,913
180,6,3,1306
181,35,1,815
181,7,2,332
182,34,1,1107
182,9,2,1025
182,35,2,815
183,45,1,561
183,34,2,1107
183,12,1,1432
184,37,1,1229
184,2,1,576
184,3,1,748
185,37,1,1229
185,26,3,1135
186,6,2,1306
187,33,2,943
188,49,1,1172
189,16,1,1416
190,39,2,1068
190,39,3,1068
190,16,3,1416
191,27,1,1283
192,11,1,1047
192,33,1,943
193,47,2,954
193,35,3,815
194,27,3,1283
194,25,3,737
194,22,1,892
195,12,1,1432
196,6,2,1306
197,45,1,561
197,44,1,1303
198,10,1,913
199,50,3,998
200,2,3,576
200,13,2,954
200,31,1,647
201,27,3,1283
201,46,2,625
201,8,1,588
202,43,3,1149
202,21,3,736
202,11,3,1047
203,8,1,588
204,35,2,815
205,24,1,946
205,43,2,1149
206,19,3,718
206,2,3,576
206,2,3,576
207,37,1,1229
207,6,3,1306
208,11,2,1047
208,22,3,892
208,20,2,753
209,23,2,784
209,9,1,1025
209,29,3,1062
210,40,3,1066
211,41,1,910
212,6,2,1306
213,24,1,946
214,16,2,1416
215,46,1,625
216,4,3,516
217,40,2,1066
218,35,2,815
218,21,1,736
219,40,2,1066
220,16,3,1416
220,37,1,1229
220,6,2,1306
221,13,2,954
221,50,3,998
221,28,3,1057
222,17,1,902
222,16,2,1416
223,2,3,576
223,33,2,943
223,22,1,892
224,20,2,753
225,41,1,910
225,23,3,784
225,22,1,892
226,16,3,1416
226,15,1,439
226,21,3,736
227,4,3,516
227,14,1,1157
228,31,2,647
229,33,2,943
229,26,1,1135
229,47,1,954
230,47,3,954
231,36,3,847
231,31,3,647
232,30,2,549
232,31,3,647
232,37,3,1229
233,10,3,913
233,6,2,1306
233,26,3,1135
234,29,2,1062
235,13,2,954
235,19,2,718
236,5,1,1051
236,10,2,913
237,40,2,1066
238,36,2,847
238,11,2,1047
239,32,2,611
239,30,3,549
239,22,2,892
240,30,1,549
240,26,3,1135
240,27,3,1283
241,10,1,913
242,17,2,902
242,35,1,815
243,9,1,1025
243,15,2,439
243,44,1,1303
244,42,3,934
244,13,1,954
245,49,3,1172
245,8,1,588
246,14,1,1157
246,49,2,1172
246,30,3,549
247,15,2,439
247,27,3,1283
248,20,2,753
248,22,1,892
249,8,3,588
249,31,1,647
250,15,3,439
251,25,3,737
252,50,1,998
252,24,1,946
253,44,2,1303
253,39,1,1068
254,9,3,1025
254,47,2,954
255,38,3,1061
255,42,2,934
255,37,2,1229
256,44,3,1303
256,43,3,1149
256,42,3,934
257,20,1,753
257,30,2,549
257,36,3,847
258,15,1,439
259,8,2,588
259,32,1,611
260,8,1,588
260,50,3,998
260,1,2,1038
261,13,1,954
261,45,3,561
261,6,1,1306
262,9,3,1025
262,22,1,892
263,14,1,1157
263,3,1,748
264,11,2,1047
265,30,2,549
265,2,1,576
265,50,2,998
266,13,2,954
266,13,3,954
267,3,2,748
267,46,2,625
268,42,2,934
268,13,2,954
269,21,1,736
269,41,2,910
270,24,3,946
271,50,3,998
272,22,2,892
272,3,3,748
273,8,1,588
273,22,1,892
273,15,2,439
274,31,1,647
274,28,1,1057
274,26,3,1135
275,40,3,1066
276,10,3,913
276,21,1,736
276,44,3,1303
277,48,3,553
277,30,1,549
277,9,2,1025
278,20,3,753
278,13,1,954
278,38,2,1061
279,39,3,1068
279,19,3,718
279,40,3,1066
280,28,2,1057
280,23,1,784
281,46,1,625
281,26,3,1135
281,42,2,934
282,28,3,1057
283,24,1,946
283,45,2,561
284,24,2,946
284,33,1,943
284,27,3,1283
285,32,3,611
285,20,1,753
286,20,2,753
286,45,1,561
287,45,2,561
287,48,1,553
288,49,1,1172
289,31,2,647
290,47,2,954
290,11,2,1047
290,47,2,954
291,50,1,998
291,31,2,647
291,7,3,332
292,11,3,1047
292,14,2,1157
293,6,2,1306
293,28,3,1057
293,29,2,1062
294,41,2,910
294,34,2,1107
295,19,3,718
295,28,3,1057
295,16,2,1416
296,11,2,1047
296,47,2,954
296,35,3,815
297,35,3,815
297,19,3,718
298,16,2,1416
298,20,1,753
299,42,2,934
299,21,2,736
300,14,2,1157
300,42,1,934
300,48,2,553
301,48,1,553
301,38,1,1061
302,42,2,934
302,36,2,847
302,40,3,1066
303,49,2,1172
303,41,1,910
303,22,3,892
304,10,1,913
304,5,3,1051
304,10,2,913
305,39,3,1068
306,43,3,1149
306,22,3,892
307,13,3,954
307,19,1,718
307,11,1,1047
308,38,2,1061
308,40,2,1066
308,29,2,1062
309,48,2,553
310,12,3,1432
311,31,2,647
311,7,1,332
311,27,3,1283
312,40,1,1066
313,35,2,815
313,33,3,943
314,32,1,611
314,7,1,332
315,19,2,718
315,25,2,737
316,34,2,1107
317,28,3,1057
317,12,3,1432
317,35,3,815
318,24,3,946
318,3,2,748
319,21,3,736
320,20,1,753
320,36,1,847
321,15,2,439
321,21,2,736
321,13,1,954
322,35,2,815
322,46,2,625
323,48,2,553
324,32,3,611
325,24,3,946
325,36,1,847
325,16,3,1416
326,38,2,1061
326,26,3,1135
327,16,2,1416
327,35,2,815
327,26,1,1135
328,17,2,902
329,42,1,934
329,28,3,1057
330,43,3,1149
331,43,3,1149
331,22,3,892
332,16,3,1416
332,47,3,954
332,20,3,753
333,14,1,1157
333,33,3,943
333,20,2,753
334,20,2,753
334,44,1,1303
335,25,1,737
335,40,3,1066
336,7,3,332
336,13,2,954
337,33,3,943
337,14,1,1157
337,49,3,1172
338,44,3,1303
338,8,3,588
339,4,1,516
339,49,3,1172
339,16,1,1416
340,32,2,611
340,36,2,847
341,48,1,553
341,25,3,737
341,18,3,649
342,16,1,1416
342,20,2,753
343,22,1,892
343,27,2,1283
344,12,3,1432
345,24,2,946
346,49,1,1172
347,37,1,1229
348,30,1,549
348,10,3,913
349,12,2,1432
349,35,1,815
350,37,3,1229
351,38,2,1061
351,40,1,1066
351,29,2,1062
352,1,3,1038
353,31,1,647
353,19,2,718
353,48,3,553
354,47,3,954
354,16,1,1416
354,23,1,784
355,23,2,784
355,11,2,1047
356,39,1,1068
356,4,2,516
356,13,3,954
357,11,3,1047
358,2,1,576
358,30,3,549
359,38,3,1061
359,45,2,561
359,45,3,561
360,16,1,1416
361,27,2,1283
362,29,1,1062
363,7,1,332
363,15,1,439
364,27,1,1283
365,11,3,1047
365,31,1,647
366,11,3,1047
366,48,2,553
366,6,3,1306
367,26,3,1135
367,11,2,1047
367,7,1,332
368,12,3,1432
368,45,1,561
368,20,3,753
369,34,1,1107
369,1,1,1038
370,26,2,1135
371,44,1,1303
372,31,3,647
373,43,1,1149
373,24,1,946
373,21,3,736
374,5,3,1051
375,1,3,1038
376,48,1,553
376,38,1,1061
376,36,2,847
377,16,1,1416
378,46,1,625
379,20,2,753
379,6,3,1306
379,43,1,1149
380,45,3,561
381,40,3,1066
382,46,3,625
382,13,2,954
382,35,1,815
383,8,1,588
384,14,2,1157
384,3,2,748
385,33,3,943
385,12,1,1432
385,21,2,736
386,40,3,1066
386,32,2,611
387,12,3,1432
387,35,2,815
388,44,3,1303
388,32,3,611
388,32,2,611
389,16,1,1416
390,13,3,954
391,22,2,892
391,47,1,954
391,20,2,753
392,26,3,1135
393,29,1,1062
393,40,3,1066
394,47,1,954
394,19,3,718
394,49,3,1172
395,31,2,647
395,17,3,902
396,30,1,549
396,1,3,1038
397,9,2,1025
397,25,2,737
397,5,1,1051
398,49,3,1172
399,24,3,946
399,41,2,910
399,21,3,736
400,3,3,748
400,39,1,1068
400,44,3,1303
401,9,1,1025
401,2,3,576
401,49,3,1172
402,1,2,1038
403,23,3,784
403,24,3,946
