order_id,customer_id,order_date,city,payment_method,order_status,discount,shipping_cost
1,2631,2025-05-25,Bengaluru,Card,Delivered,5,79
2,399,2024-02-11,Lucknow,Net Banking,Delivered,15,0
3,1604,2025-02-14,Lucknow,Net Banking,Delivered,20,79
4,3407,2023-06-21,Indore,Card,Delivered,0,79
5,4765,2023-03-24,Indore,COD,Delivered,0,49
6,4107,2023-11-01,Delhi,Card,Delivered,5,0
7,4956,2025-06-14,Delhi,COD,Delivered,10,99
8,1956,2024-06-12,Chandigarh,Card,Delivered,0,99
9,3887,2023-05-27,Chandigarh,Card,Delivered,10,49
10,265,2023-07-21,Hyderabad,COD,Delivered,10,0
11,1661,2025-05-26,Bengaluru,Card,Delivered,15,79
12,1052,2025-01-25,Indore,COD,Delivered,0,49
13,795,2024-10-09,Pune,Card,Delivered,10,49
14,2747,2025-03-14,Lucknow,COD,Delivered,10,99
15,2667,2025-06-22,Indore,COD,Delivered,20,79
16,932,2024-07-24,Mumbai,Net Banking,Delivered,20,79
17,2839,2024-09-20,Hyderabad,Net Banking,Delivered,15,49
18,74,2023-09-23,Mumbai,Net Banking,Delivered,20,99
19,3789,2023-08-13,Hyderabad,COD,Delivered,5,0
20,4340,2025-05-05,Indore,Card,Delivered,15,49
21,645,2025-06-21,Jaipur,Net Banking,Delivered,20,49
22,1596,2023-09-26,Chandigarh,Net Banking,Delivered,20,0
23,4039,2023-01-09,Indore,Card,Delivered,5,49
24,476,2023-01-13,Bengaluru,COD,Delivered,10,79
25,2029,2025-02-04,Jaipur,UPI,Delivered,0,79
26,572,2024-04-16,Bengaluru,UPI,Delivered,20,49
27,543,2023-10-22,Hyderabad,COD,Delivered,5,49
28,715,2023-04-25,Indore,Net Banking,Delivered,20,79
29,4968,2025-03-19,Mumbai,COD,Delivered,15,99
30,3284,2024-02-08,Jaipur,Card,Delivered,15,49
31,4958,2023-08-20,Jaipur,Card,Delivered,0,49
32,2573,2025-11-26,Indore,Card,Delivered,10,79
33,3727,2024-02-21,Bengaluru,COD,Delivered,5,49
34,2218,2025-02-19,Pune,COD,Delivered,0,49
35,3576,2023-06-25,Bengaluru,UPI,Delivered,5,99
